state,Location,White,Black,Hispanic,total,year,,,,,,,,
NV,Nevada,1434800,210500,741300,2710900,2012,,,,,,,,
NH,New Hampshire,1176100,13500,38600,1280100,2012,,,,,,,,
NJ,New Jersey,5044400,1078000,1616200,8685500,2012,,,,,,,,
NM,New Mexico,812200,34000,960400,2039200,2012,,,,,,,,
NY,New York,10922400,2719700,3476600,19040100,2012,,,,,,,,
NC,North Carolina,6107600,1992500,818900,9439200,2012,,,,,,,,
ND,North Dakota,593700,10800,14700,671900,2012,,,,,,,,
OH,Ohio,9073800,1333600,359300,11222100,2012,,,,,,,,
OK,Oklahoma,2510800,253500,346000,3689500,2012,,,,,,,,
OR,Oregon,2975500,62700,464200,3825500,2012,,,,,,,,
PA,Pennsylvania,9760800,1262300,750700,12347600,2012,,,,,,,,
RI,Rhode Island,759200,48300,135700,1007900,2012,,,,,,,,
SC,South Carolina,2937500,1238900,234900,4569100,2012,,,,,,,,
SD,South Dakota,672600,14900,22100,800400,2012,,,,,,,,
TN,Tennessee,4728400,1037000,298900,6277400,2012,,,,,,,,
TX,Texas,11265800,2874000,9756900,25384300,2012,,,,,,,,
UT,Utah,2240100,25100,369300,2801700,2012,,,,,,,,
VT,Vermont,566700,5600,8300,600700,2012,,,,,,,,
VA,Virginia,5047300,1470000,658500,7865500,2012,,,,,,,,
WA,Washington,4827200,231100,787000,6732900,2012,,,,,,,,
WV,West Virginia,1680700,55200,21500,1801800,2012,,,,,,,,
WI,Wisconsin,4625000,322100,343400,5566100,2012,,,,,,,,
WY,Wyoming,474000,4300,53100,559000,2012,,,,,,,,
US,United States,192379500,37122600,52764900,307505500,2013,,,,,,,,
AL,Alabama,3136100,1232900,184500,4705800,2013,,,,,,,,
AK,Alaska,441000,23600,44100,705100,2013,,,,,,,,
AZ,Arizona,3675000,249900,1951200,6465700,2013,,,,,,,,
AR,Arkansas,2116100,442400,197600,2868600,2013,,,,,,,,
CA,California,14572300,2061400,14441900,37511300,2013,,,,,,,,
CO,Colorado,3558300,183600,1079700,5130200,2013,,,,,,,,
CT,Connecticut,2419300,333500,508100,3479000,2013,,,,,,,,
DE,Delaware,577900,184300,79600,898500,2013,,,,,,,,
DC,District of Columbia,214500,296700,63500,610300,2013,,,,,,,,
FL,Florida,10748400,2897800,4549700,19093200,2013,,,,,,,,
GA,Georgia,5316200,2948800,876600,9690900,2013,,,,,,,,
HI,Hawaii,289000,20400,127800,1331500,2013,,,,,,,,
ID,Idaho,1317000,7000,186300,1580900,2013,,,,,,,,
IL,Illinois,7898400,1739200,2081000,12571100,2013,,,,,,,,
IN,Indiana,5138600,557200,410400,6366500,2013,,,,,,,,
IA,Iowa,2619700,95100,162100,2990300,2013,,,,,,,,
KS,Kansas,2162900,156400,311400,2796500,2013,,,,,,,,
KY,Kentucky,3664400,325700,134500,4260900,2013,,,,,,,,
LA,Louisiana,2684600,1427300,207900,4483200,2013,,,,,,,,
ME,Maine,1215800,12400,16200,1291900,2013,,,,,,,,
MD,Maryland,3067400,1665700,522900,5767500,2013,,,,,,,,
MA,Massachusetts,4828400,404300,680700,6451500,2013,,,,,,,,
MI,Michigan,7363300,1312200,455000,9664300,2013,,,,,,,,
MN,Minnesota,4334600,280900,255900,5287800,2013,,,,,,,,
MS,Mississippi,1664000,1085700,72800,2889200,2013,,,,,,,,
MO,Missouri,4719900,655700,220500,5853100,2013,,,,,,,,
MT,Montana,861800,4900,31200,986300,2013,,,,,,,,
NE,Nebraska,1465800,83600,179700,1811200,2013,,,,,,,,
NV,Nevada,1432400,216800,756500,2745400,2013,,,,,,,,
NH,New Hampshire,1174500,10000,40100,1280700,2013,,,,,,,,
NJ,New Jersey,5011800,1082400,1658100,8716900,2013,,,,,,,,
NM,New Mexico,803000,33400,964500,2040200,2013,,,,,,,,
NY,New York,10889900,2716400,3525400,19119600,2013,,,,,,,,
NC,North Carolina,6141200,2001700,839000,9522500,2013,,,,,,,,
ND,North Dakota,606300,11100,15800,693500,2013,,,,,,,,
OH,Ohio,9063000,1329300,366300,11239600,2013,,,,,,,,
OK,Oklahoma,2521400,260100,357200,3726900,2013,,,,,,,,
OR,Oregon,2985100,62000,473500,3851600,2013,,,,,,,,
PA,Pennsylvania,9704800,1283000,771900,12344300,2013,,,,,,,,
